top_category,top_material,top_color,top_color_code,bottom_category,bottom_material,bottom_color,bottom_color_code,shoes_category,shoes_material,shoes_color,shoes_color_code,style,temperature,weather_condition,score
Cardigan,Cotton,"[124, 254, 162]",204.64,Sweatpants,Wool,"[132, 158, 220]",157.29,Sandals,Wool,"[129, 133, 204]",139.9,Preppy,10,Cloudy,5.0
T-shirt,Polyester,"[145, 17, 14]",54.93,Chinos,Wool,"[21, 66, 28]",48.21,Moccasins,Velvet,"[3, 6, 67]",12.06,Formal,27,Rainy,3.0
Tank Top,Velvet,"[113, 215, 175]",179.94,Sweatpants,Nylon,"[153, 167, 143]",160.08,Sneakers,Mesh,"[128, 8, 62]",50.04,Elegant,4,Snowy,1.0
Polo,Velvet,"[237, 120, 135]",156.69,Sweatpants,Polyester,"[58, 87, 223]",93.83,Sandals,Rubber,"[11, 100, 97]",73.05,Formal,6,Windy,5.0
Blouse,Fleece,"[5, 132, 172]",98.59,Shorts,Wool,"[12, 174, 172]",125.33,Espadrilles,Leather,"[185, 144, 253]",168.69,Bohemian,16,Rainy,5.0
Sweater,Leather,"[10, 110, 92]",78.05,Joggers,Silk,"[19, 28, 174]",41.95,Moccasins,Suede,"[164, 206, 43]",174.86,Business Casual,-1,Rainy,6.5
Polo,Nylon,"[16, 155, 120]",109.45,Cargo Pants,Wool,"[188, 163, 45]",157.02,Loafers,Knit,"[139, 91, 26]",97.94,Streetwear,5,Rainy,3.5
T-shirt,Cotton,"[77, 143, 140]",122.92,Skirt,Wool,"[75, 197, 194]",160.18,Sandals,Canvas,"[153, 107, 175]",128.51,Vintage,13,Sunny,5.0
Polo,Linen,"[244, 127, 243]",175.21,Leggings,Silk,"[157, 21, 72]",67.48,Flip-Flops,Suede,"[144, 126, 245]",144.95,Elegant,35,Rainy,1.0
Tunic,Nylon,"[128, 75, 84]",91.87,Skirt,Leather,"[41, 166, 232]",136.15,Espadrilles,Denim,"[115, 102, 224]",119.79,Business Casual,21,Sunny,5.0
Sweater,Denim,"[135, 57, 225]",99.47,Shorts,Velvet,"[103, 136, 74]",119.06,Espadrilles,Suede,"[230, 242, 17]",212.76,Casual,32,Windy,2.5
T-shirt,Fleece,"[25, 149, 246]",122.98,Sweatpants,Denim,"[151, 18, 166]",74.64,Sneakers,Wool,"[181, 248, 116]",212.92,Streetwear,-1,Sunny,2.5
T-shirt,Linen,"[128, 247, 34]",187.14,Cargo Pants,Nylon,"[221, 140, 35]",152.25,Loafers,Canvas,"[193, 189, 95]",179.48,Minimalist,19,Snowy,1.5
Sweater,Fleece,"[177, 243, 176]",215.63,Shorts,Velvet,"[115, 138, 80]",124.51,Sandals,Velvet,"[164, 177, 53]",158.98,Formal,6,Windy,5.0
Cardigan,Linen,"[209, 0, 156]",80.28,Cargo Pants,Nylon,"[51, 7, 68]",27.11,Loafers,Denim,"[153, 202, 190]",185.98,Elegant,4,Rainy,5.0
Polo,Polyester,"[33, 134, 153]",105.97,Leggings,Linen,"[183, 19, 215]",90.38,Moccasins,Synthetic,"[63, 107, 237]",108.66,Vintage,22,Windy,5.0
Sweater,Denim,"[29, 135, 229]",114.02,Joggers,Silk,"[89, 63, 69]",71.46,Sandals,Wool,"[101, 76, 252]",103.54,Streetwear,5,Snowy,3.0
T-shirt,Denim,"[34, 192, 204]",146.13,Skirt,Wool,"[143, 206, 13]",165.16,Sneakers,Mesh,"[37, 230, 220]",171.15,Formal,27,Cloudy,5.0
Tunic,Velvet,"[103, 12, 49]",43.43,Jeans,Silk,"[11, 227, 17]",138.48,Boots,Rubber,"[115, 247, 178]",199.67,Sporty,35,Snowy,2.0
T-shirt,Nylon,"[62, 228, 26]",155.34,Trousers,Leather,"[215, 42, 72]",97.15,Espadrilles,Rubber,"[203, 80, 101]",119.17,Casual,25,Cloudy,5.0
Hoodie,Linen,"[116, 91, 243]",115.8,Sweatpants,Velvet,"[166, 192, 175]",182.29,Boots,Knit,"[137, 227, 144]",190.63,Sporty,20,Rainy,5.0
Blouse,Nylon,"[41, 220, 164]",160.09,Trousers,Wool,"[115, 212, 201]",181.74,Loafers,Velvet,"[117, 91, 189]",109.95,Formal,34,Rainy,5.0
Tank Top,Fleece,"[136, 86, 212]",115.31,Sweatpants,Nylon,"[188, 206, 116]",190.36,Flip-Flops,Suede,"[143, 240, 166]",202.56,Sporty,5,Snowy,1.5
Sweater,Linen,"[213, 86, 187]",135.49,Skirt,Silk,"[25, 131, 44]",89.39,Loafers,Velvet,"[15, 18, 42]",19.84,Vintage,-3,Cloudy,4.0
Polo,Fleece,"[76, 43, 156]",65.75,Jeans,Cotton,"[185, 117, 216]",148.62,Boots,Synthetic,"[185, 14, 42]",68.32,Streetwear,0,Snowy,4.5
Jacket,Polyester,"[212, 245, 54]",213.36,Trousers,Fleece,"[7, 169, 75]",109.85,Oxfords,Suede,"[69, 202, 95]",150.03,Preppy,-4,Snowy,1.5
Blouse,Polyester,"[169, 78, 30]",99.74,Leggings,Nylon,"[67, 26, 216]",59.92,Oxfords,Knit,"[164, 1, 114]",62.62,Streetwear,27,Windy,3.5
T-shirt,Leather,"[160, 255, 244]",225.34,Shorts,Silk,"[199, 87, 29]",113.88,Sandals,Wool,"[187, 7, 162]",78.49,Vintage,8,Sunny,5.0
Tank Top,Silk,"[20, 223, 158]",154.89,Leggings,Cotton,"[163, 220, 94]",188.59,Moccasins,Velvet,"[227, 221, 227]",223.48,Business Casual,7,Sunny,5.0
Tank Top,Leather,"[8, 47, 90]",40.24,Shorts,Velvet,"[226, 233, 63]",211.53,Boots,Wool,"[98, 142, 128]",127.25,Business Casual,-2,Cloudy,3.5
Tank Top,Leather,"[54, 248, 189]",183.27,Culottes,Fleece,"[125, 131, 199]",136.96,Boots,Synthetic,"[148, 73, 109]",99.53,Bohemian,5,Rainy,5.0
Polo,Nylon,"[248, 228, 245]",235.92,Shorts,Fleece,"[202, 129, 96]",147.06,Heels,Denim,"[249, 255, 94]",234.85,Business Casual,15,Windy,5.0
T-shirt,Velvet,"[157, 45, 142]",89.55,Skirt,Leather,"[199, 53, 9]",91.64,Flip-Flops,Velvet,"[87, 137, 153]",123.87,Casual,23,Snowy,1.5
Sweater,Polyester,"[175, 212, 94]",187.48,Leggings,Silk,"[80, 163, 1]",119.72,Running Shoes,Denim,"[206, 225, 97]",204.73,Bohemian,32,Snowy,1.0
Jacket,Velvet,"[82, 96, 154]",98.43,Skirt,Denim,"[138, 51, 21]",73.59,Loafers,Suede,"[196, 61, 71]",102.5,Bohemian,35,Windy,5.0
Tunic,Polyester,"[233, 11, 124]",90.26,Joggers,Polyester,"[167, 219, 202]",201.51,Flip-Flops,Leather,"[89, 180, 238]",159.4,Elegant,34,Cloudy,3.0
Coat,Nylon,"[108, 71, 48]",79.44,Leggings,Cotton,"[210, 142, 177]",166.32,Loafers,Synthetic,"[55, 189, 200]",150.19,Elegant,14,Windy,5.0
Tunic,Nylon,"[247, 124, 98]",157.81,Shorts,Silk,"[204, 2, 74]",70.61,Heels,Suede,"[225, 81, 9]",115.85,Minimalist,-2,Cloudy,2.5
Polo,Velvet,"[50, 1, 126]",29.9,Shorts,Fleece,"[175, 122, 17]",125.88,Espadrilles,Rubber,"[141, 87, 44]",98.24,Vintage,9,Sunny,5.0
Cardigan,Fleece,"[104, 132, 14]",110.18,Shorts,Velvet,"[188, 64, 66]",101.3,Heels,Synthetic,"[114, 41, 76]",66.82,Preppy,30,Rainy,5.0
Hoodie,Polyester,"[90, 17, 46]",42.13,Skirt,Fleece,"[80, 210, 172]",166.8,Sandals,Knit,"[20, 193, 236]",146.18,Elegant,5,Sunny,3.0
Jacket,Nylon,"[60, 111, 151]",100.31,Culottes,Silk,"[85, 105, 57]",93.55,Running Shoes,Knit,"[238, 83, 192]",141.77,Business Casual,9,Sunny,5.0
Cardigan,Velvet,"[0, 255, 80]",158.81,Skirt,Silk,"[25, 49, 100]",47.64,Oxfords,Mesh,"[62, 176, 133]",137.01,Elegant,29,Windy,5.0
Polo,Cotton,"[189, 37, 50]",83.93,Trousers,Wool,"[122, 176, 233]",166.35,Sandals,Rubber,"[29, 230, 108]",155.99,Sporty,-4,Rainy,3.0
Tunic,Wool,"[37, 37, 191]",54.56,Jeans,Wool,"[122, 170, 175]",156.22,Moccasins,Rubber,"[32, 107, 240]",99.74,Bohemian,-2,Windy,5.0
Coat,Fleece,"[31, 66, 169]",67.28,Sweatpants,Velvet,"[226, 57, 212]",125.2,Heels,Knit,"[222, 34, 126]",100.7,Vintage,11,Sunny,5.0
Coat,Cotton,"[225, 32, 83]",95.52,Culottes,Nylon,"[175, 186, 7]",162.3,Flip-Flops,Velvet,"[198, 51, 12]",90.51,Casual,27,Snowy,1.0
Cardigan,Linen,"[65, 165, 153]",133.73,Shorts,Leather,"[5, 136, 124]",95.46,Heels,Leather,"[91, 241, 29]",171.98,Formal,12,Rainy,5.0
T-shirt,Cotton,"[230, 77, 95]",124.8,Cargo Pants,Polyester,"[17, 200, 194]",144.6,Sneakers,Wool,"[11, 24, 29]",20.68,Elegant,-1,Windy,1.0
Polo,Cotton,"[247, 145, 78]",167.86,Chinos,Leather,"[6, 189, 96]",123.68,Heels,Mesh,"[240, 68, 205]",135.05,Preppy,31,Rainy,5.0
Blouse,Leather,"[115, 4, 122]",50.64,Shorts,Polyester,"[180, 69, 129]",109.03,Sandals,Wool,"[119, 246, 60]",186.82,Vintage,13,Rainy,3.0
Sweater,Wool,"[41, 88, 182]",84.66,Trousers,Leather,"[148, 18, 215]",79.33,Running Shoes,Knit,"[197, 240, 110]",212.32,Business Casual,19,Snowy,3.0
Hoodie,Polyester,"[227, 49, 229]",122.74,Trousers,Denim,"[229, 121, 199]",162.18,Boots,Suede,"[146, 76, 169]",107.53,Minimalist,21,Rainy,5.0
Cardigan,Polyester,"[182, 107, 35]",121.22,Joggers,Fleece,"[207, 210, 218]",210.02,Oxfords,Canvas,"[91, 120, 138]",113.38,Minimalist,32,Cloudy,5.0
Sweater,Fleece,"[236, 152, 104]",171.64,Chinos,Cotton,"[88, 185, 150]",152.01,Boots,Rubber,"[5, 109, 175]",85.43,Formal,11,Snowy,5.0
Sweater,Denim,"[254, 176, 161]",197.61,Chinos,Silk,"[25, 180, 21]",115.53,Oxfords,Velvet,"[207, 112, 124]",141.77,Elegant,26,Windy,2.5
Coat,Cotton,"[200, 13, 1]",67.55,Culottes,Linen,"[31, 76, 251]",82.49,Espadrilles,Leather,"[72, 221, 114]",164.25,Formal,24,Windy,5.0
Coat,Cotton,"[64, 35, 30]",43.1,Joggers,Polyester,"[21, 202, 44]",129.87,Sandals,Velvet,"[121, 77, 126]",95.74,Sporty,4,Sunny,6.5
Cardigan,Velvet,"[127, 21, 11]",51.55,Trousers,Polyester,"[188, 216, 139]",198.85,Heels,Leather,"[205, 27, 119]",90.71,Elegant,27,Snowy,1.5
T-shirt,Velvet,"[18, 218, 102]",144.98,Jeans,Velvet,"[131, 114, 211]",130.14,Espadrilles,Suede,"[153, 118, 112]",127.78,Vintage,11,Cloudy,5.0
Hoodie,Cotton,"[90, 250, 80]",182.78,Sweatpants,Denim,"[64, 207, 115]",153.75,Loafers,Rubber,"[249, 126, 143]",164.71,Elegant,-4,Snowy,1.0
Hoodie,Wool,"[252, 46, 6]",103.03,Skirt,Polyester,"[215, 72, 182]",127.3,Flip-Flops,Velvet,"[202, 77, 26]",108.56,Streetwear,27,Rainy,1.0
Hoodie,Nylon,"[228, 243, 47]",216.17,Skirt,Fleece,"[216, 209, 105]",199.24,Running Shoes,Mesh,"[196, 14, 40]",71.38,Minimalist,1,Cloudy,4.0
Cardigan,Denim,"[175, 7, 185]",77.52,Chinos,Velvet,"[178, 33, 36]",76.7,Running Shoes,Synthetic,"[176, 186, 10]",162.95,Bohemian,31,Sunny,5.0
Hoodie,Silk,"[81, 86, 218]",99.55,Sweatpants,Denim,"[120, 64, 34]",77.32,Running Shoes,Denim,"[207, 17, 211]",95.93,Preppy,14,Sunny,5.0
Hoodie,Nylon,"[183, 146, 251]",169.03,Joggers,Polyester,"[119, 191, 170]",167.08,Moccasins,Velvet,"[30, 239, 42]",154.05,Casual,10,Sunny,5.0
Tunic,Velvet,"[146, 132, 108]",133.45,Jeans,Cotton,"[184, 66, 184]",114.73,Espadrilles,Velvet,"[231, 79, 109]",127.87,Business Casual,13,Sunny,5.0
Cardigan,Velvet,"[91, 156, 116]",132.0,Joggers,Fleece,"[126, 255, 207]",210.96,Espadrilles,Velvet,"[104, 182, 152]",155.26,Formal,17,Cloudy,5.0
Polo,Polyester,"[129, 126, 83]",121.99,Trousers,Silk,"[215, 97, 36]",125.33,Sneakers,Rubber,"[121, 39, 148]",75.94,Formal,24,Sunny,3.0
Sweater,Nylon,"[80, 234, 118]",174.73,Jeans,Denim,"[30, 24, 66]",30.58,Sneakers,Denim,"[208, 159, 159]",173.65,Minimalist,16,Windy,5.0
Coat,Leather,"[57, 164, 115]",126.42,Jeans,Fleece,"[129, 103, 133]",114.19,Loafers,Mesh,"[169, 143, 153]",151.91,Sporty,15,Windy,3.0
Sweater,Denim,"[85, 156, 55]",123.26,Leggings,Wool,"[222, 74, 45]",114.95,Sandals,Velvet,"[218, 143, 92]",159.61,Vintage,17,Snowy,3.0
Polo,Linen,"[19, 120, 183]",96.98,Culottes,Wool,"[71, 196, 17]",138.22,Boots,Wool,"[205, 33, 110]",93.21,Streetwear,4,Rainy,6.0
Tunic,Linen,"[43, 197, 39]",132.94,Shorts,Silk,"[86, 241, 212]",191.35,Sandals,Suede,"[194, 51, 61]",94.9,Vintage,5,Cloudy,5.0
Blouse,Linen,"[14, 43, 1]",29.54,Shorts,Cotton,"[156, 34, 14]",68.2,Heels,Rubber,"[2, 208, 46]",127.94,Preppy,1,Snowy,1.0
Polo,Velvet,"[56, 121, 3]",88.11,Sweatpants,Denim,"[96, 134, 87]",117.28,Oxfords,Suede,"[139, 11, 218]",72.87,Bohemian,26,Snowy,1.0
Polo,Cotton,"[142, 243, 54]",191.25,Chinos,Cotton,"[61, 135, 11]",98.74,Heels,Synthetic,"[58, 128, 187]",113.8,Casual,12,Cloudy,5.0
Jacket,Cotton,"[10, 222, 43]",138.21,Cargo Pants,Leather,"[72, 175, 183]",145.11,Loafers,Leather,"[241, 141, 27]",157.9,Business Casual,1,Cloudy,5.0
T-shirt,Fleece,"[207, 255, 226]",237.34,Jeans,Polyester,"[68, 23, 244]",61.65,Boots,Denim,"[145, 74, 125]",101.04,Formal,21,Rainy,3.0
Sweater,Linen,"[118, 98, 136]",108.31,Joggers,Polyester,"[92, 86, 209]",101.82,Running Shoes,Velvet,"[78, 96, 47]",85.03,Casual,17,Rainy,5.0
Cardigan,Denim,"[146, 142, 223]",152.43,Trousers,Silk,"[171, 206, 136]",187.55,Heels,Mesh,"[205, 57, 211]",118.81,Preppy,27,Cloudy,5.0
Hoodie,Silk,"[210, 22, 20]",77.98,Trousers,Linen,"[184, 201, 96]",183.95,Moccasins,Knit,"[102, 52, 249]",89.41,Minimalist,3,Snowy,3.0
Cardigan,Polyester,"[12, 96, 94]",70.66,Trousers,Nylon,"[109, 102, 23]",95.09,Sandals,Denim,"[232, 66, 117]",121.45,Elegant,35,Sunny,5.0
Tank Top,Fleece,"[44, 121, 89]",94.33,Trousers,Fleece,"[242, 252, 169]",239.55,Loafers,Suede,"[69, 145, 129]",120.45,Preppy,18,Windy,5.0
Tank Top,Wool,"[15, 20, 208]",39.94,Cargo Pants,Polyester,"[103, 211, 61]",161.61,Flip-Flops,Wool,"[105, 147, 248]",145.96,Casual,1,Cloudy,1.0
T-shirt,Fleece,"[120, 244, 250]",207.61,Shorts,Nylon,"[208, 214, 209]",211.64,Oxfords,Velvet,"[139, 162, 170]",156.03,Formal,12,Snowy,1.0
Polo,Fleece,"[11, 204, 71]",131.13,Joggers,Silk,"[72, 41, 120]",59.27,Espadrilles,Mesh,"[233, 103, 228]",156.12,Business Casual,6,Rainy,5.0
Blouse,Fleece,"[239, 118, 100]",152.13,Trousers,Denim,"[30, 245, 48]",158.26,Sandals,Canvas,"[210, 176, 26]",169.07,Casual,4,Snowy,1.5
Cardigan,Polyester,"[20, 51, 234]",62.59,Chinos,Polyester,"[105, 53, 182]",83.25,Running Shoes,Synthetic,"[35, 216, 249]",165.64,Elegant,-1,Sunny,5.0
Cardigan,Velvet,"[222, 97, 203]",146.46,Jeans,Linen,"[61, 255, 174]",187.76,Running Shoes,Synthetic,"[223, 65, 140]",120.79,Casual,5,Windy,5.0
Cardigan,Leather,"[244, 177, 125]",191.11,Sweatpants,Silk,"[144, 177, 208]",170.67,Heels,Leather,"[162, 33, 136]",83.31,Sporty,27,Cloudy,2.5
Polo,Fleece,"[110, 171, 65]",140.68,Trousers,Wool,"[72, 29, 205]",61.92,Loafers,Wool,"[58, 17, 83]",36.78,Bohemian,9,Sunny,5.0
Tunic,Fleece,"[35, 40, 1]",34.06,Jeans,Wool,"[151, 28, 64]",68.88,Loafers,Knit,"[204, 6, 87]",74.44,Casual,35,Snowy,1.5
Jacket,Linen,"[118, 81, 9]",83.85,Skirt,Silk,"[105, 36, 45]",57.66,Espadrilles,Canvas,"[165, 64, 111]",99.56,Sporty,12,Cloudy,5.0
Cardigan,Fleece,"[140, 223, 200]",195.56,Joggers,Velvet,"[137, 241, 225]",208.08,Boots,Wool,"[142, 92, 83]",105.92,Vintage,5,Sunny,5.0
T-shirt,Polyester,"[181, 139, 93]",146.31,Shorts,Fleece,"[248, 62, 76]",119.21,Oxfords,Knit,"[178, 13, 214]",85.25,Business Casual,30,Windy,7.0
Coat,Polyester,"[159, 104, 80]",117.71,Shorts,Leather,"[177, 219, 114]",194.47,Running Shoes,Rubber,"[91, 84, 29]",79.82,Casual,13,Windy,5.0
Hoodie,Denim,"[40, 30, 148]",46.44,Leggings,Leather,"[58, 130, 254]",122.61,Boots,Canvas,"[51, 148, 61]",109.08,Streetwear,18,Rainy,5.0
Coat,Fleece,"[40, 130, 221]",113.46,Joggers,Velvet,"[92, 139, 174]",128.94,Sneakers,Suede,"[175, 26, 98]",78.76,Minimalist,17,Sunny,5.0
Blouse,Silk,"[58, 64, 133]",70.07,Sweatpants,Cotton,"[42, 108, 163]",94.54,Running Shoes,Mesh,"[189, 170, 52]",162.23,Minimalist,3,Snowy,1.5
Cardigan,Silk,"[221, 42, 92]",101.22,Jeans,Fleece,"[62, 47, 224]",71.66,Sneakers,Denim,"[104, 161, 40]",130.16,Casual,32,Snowy,1.5
Sweater,Polyester,"[51, 15, 185]",45.14,Culottes,Silk,"[140, 62, 70]",86.23,Loafers,Velvet,"[252, 183, 112]",195.54,Formal,33,Windy,2.5
Blouse,Polyester,"[114, 78, 20]",82.15,Skirt,Linen,"[242, 95, 190]",149.78,Espadrilles,Wool,"[206, 99, 169]",138.97,Vintage,20,Snowy,1.5
Sweater,Polyester,"[98, 153, 72]",127.32,Joggers,Wool,"[169, 75, 21]",96.95,Heels,Suede,"[194, 223, 10]",190.05,Formal,-2,Snowy,4.5
T-shirt,Nylon,"[188, 28, 120]",86.33,Culottes,Silk,"[165, 153, 229]",165.25,Boots,Wool,"[86, 67, 133]",80.21,Sporty,10,Windy,5.0
Tunic,Fleece,"[167, 149, 122]",151.3,Joggers,Denim,"[5, 13, 123]",23.15,Oxfords,Rubber,"[23, 90, 173]",79.43,Bohemian,29,Rainy,5.0
T-shirt,Leather,"[9, 220, 64]",139.13,Jeans,Silk,"[31, 149, 202]",119.76,Oxfords,Wool,"[185, 141, 101]",149.6,Bohemian,11,Windy,5.0
Hoodie,Polyester,"[107, 56, 238]",92.0,Chinos,Wool,"[235, 60, 34]",109.36,Running Shoes,Mesh,"[248, 187, 50]",189.62,Formal,-4,Windy,4.5
Tunic,Cotton,"[9, 113, 139]",84.87,Shorts,Leather,"[111, 146, 69]",126.76,Loafers,Velvet,"[63, 247, 128]",178.42,Business Casual,26,Sunny,5.0
Sweater,Leather,"[140, 196, 169]",176.18,Joggers,Leather,"[119, 194, 216]",174.08,Flip-Flops,Suede,"[200, 118, 138]",144.8,Elegant,17,Sunny,3.0
Coat,Silk,"[90, 188, 49]",142.85,Culottes,Polyester,"[7, 91, 112]",68.28,Heels,Knit,"[150, 5, 17]",49.72,Vintage,10,Windy,5.0
Tank Top,Fleece,"[129, 15, 48]",52.85,Joggers,Silk,"[178, 72, 65]",102.9,Loafers,Mesh,"[163, 173, 183]",171.15,Formal,-2,Rainy,2.5
Tunic,Wool,"[33, 76, 16]",56.3,Culottes,Cotton,"[235, 113, 172]",156.2,Flip-Flops,Wool,"[32, 233, 229]",172.44,Minimalist,9,Windy,5.0
Tunic,Polyester,"[22, 78, 26]",55.33,Jeans,Denim,"[105, 220, 97]",171.59,Sneakers,Denim,"[155, 135, 149]",142.58,Preppy,19,Rainy,5.0
Coat,Wool,"[50, 155, 0]",105.94,Chinos,Polyester,"[233, 232, 73]",214.17,Running Shoes,Suede,"[25, 255, 40]",161.72,Streetwear,0,Windy,6.5
Sweater,Fleece,"[153, 176, 157]",166.96,Leggings,Polyester,"[112, 41, 230]",83.78,Moccasins,Canvas,"[0, 97, 190]",78.6,Vintage,11,Rainy,5.0
Coat,Polyester,"[205, 172, 171]",181.75,Chinos,Nylon,"[182, 29, 84]",81.02,Moccasins,Wool,"[210, 186, 123]",185.99,Bohemian,18,Cloudy,5.0
Hoodie,Leather,"[208, 96, 181]",139.18,Shorts,Wool,"[91, 64, 139]",80.62,Espadrilles,Synthetic,"[107, 130, 135]",123.69,Preppy,-3,Snowy,1.0
Polo,Wool,"[114, 90, 92]",97.4,Skirt,Silk,"[161, 137, 63]",135.74,Espadrilles,Denim,"[95, 39, 140]",67.26,Streetwear,17,Cloudy,5.0
T-shirt,Denim,"[58, 101, 120]",90.31,Cargo Pants,Nylon,"[102, 17, 193]",62.48,Running Shoes,Leather,"[139, 60, 209]",100.61,Sporty,1,Sunny,2.5
Jacket,Fleece,"[241, 207, 221]",218.76,Shorts,Wool,"[57, 26, 178]",52.6,Sneakers,Wool,"[154, 169, 114]",158.25,Bohemian,-5,Sunny,2.5
Coat,Cotton,"[94, 144, 81]",121.87,Culottes,Fleece,"[216, 196, 29]",182.94,Sandals,Synthetic,"[254, 168, 175]",194.51,Sporty,34,Rainy,1.5
Blouse,Denim,"[62, 172, 231]",145.84,Sweatpants,Wool,"[68, 152, 153]",127.0,Loafers,Wool,"[240, 249, 43]",222.82,Sporty,16,Cloudy,3.0
Coat,Linen,"[103, 222, 101]",172.62,Joggers,Silk,"[92, 23, 102]",52.64,Oxfords,Knit,"[105, 140, 58]",120.19,Casual,28,Sunny,2.5
Jacket,Cotton,"[208, 232, 162]",216.84,Shorts,Polyester,"[109, 58, 139]",82.48,Sandals,Leather,"[220, 44, 35]",95.6,Vintage,22,Windy,5.0
Sweater,Silk,"[27, 244, 118]",164.75,Culottes,Cotton,"[169, 80, 96]",108.43,Loafers,Canvas,"[254, 5, 74]",87.32,Preppy,27,Sunny,2.5
Hoodie,Silk,"[2, 63, 55]",43.85,Skirt,Leather,"[239, 34, 63]",98.6,Heels,Suede,"[239, 33, 29]",94.14,Sporty,27,Sunny,2.5
Coat,Wool,"[250, 116, 201]",165.76,Jeans,Velvet,"[120, 170, 142]",151.86,Moccasins,Leather,"[37, 0, 179]",31.47,Minimalist,7,Cloudy,5.0
Polo,Silk,"[123, 17, 84]",56.33,Jeans,Polyester,"[169, 143, 90]",144.73,Sneakers,Knit,"[26, 175, 121]",124.29,Formal,7,Sunny,3.0
Blouse,Fleece,"[90, 164, 102]",134.81,Trousers,Denim,"[110, 157, 108]",137.36,Sneakers,Suede,"[83, 117, 250]",122.0,Formal,8,Windy,3.0
Tunic,Polyester,"[92, 159, 73]",129.16,Shorts,Nylon,"[3, 56, 224]",59.3,Espadrilles,Denim,"[253, 183, 141]",199.14,Casual,22,Snowy,1.5
Jacket,Nylon,"[120, 72, 171]",97.64,Joggers,Cotton,"[184, 209, 171]",197.19,Oxfords,Denim,"[63, 166, 198]",138.85,Streetwear,33,Cloudy,3.5
Blouse,Linen,"[19, 23, 22]",21.69,Chinos,Leather,"[133, 132, 90]",127.51,Flip-Flops,Mesh,"[105, 174, 131]",148.47,Elegant,35,Sunny,3.0
Sweater,Denim,"[204, 38, 31]",86.84,Shorts,Silk,"[202, 243, 181]",223.67,Boots,Rubber,"[228, 144, 169]",171.97,Vintage,9,Cloudy,5.0
Cardigan,Polyester,"[94, 31, 204]",69.56,Leggings,Velvet,"[78, 242, 109]",177.8,Running Shoes,Leather,"[103, 237, 82]",179.26,Minimalist,20,Windy,5.0
Tunic,Polyester,"[163, 154, 38]",143.47,Trousers,Velvet,"[53, 53, 88]",56.99,Oxfords,Suede,"[77, 112, 231]",115.1,Formal,26,Rainy,5.0
Polo,Polyester,"[100, 139, 54]",117.65,Jeans,Leather,"[158, 97, 0]",104.18,Oxfords,Velvet,"[134, 96, 59]",103.14,Business Casual,17,Sunny,5.0
Tank Top,Velvet,"[218, 235, 46]",208.37,Shorts,Silk,"[121, 197, 129]",166.52,Flip-Flops,Mesh,"[244, 42, 65]",105.02,Business Casual,-5,Rainy,1.0
Jacket,Leather,"[124, 190, 9]",149.63,Culottes,Fleece,"[59, 49, 191]",68.18,Heels,Leather,"[119, 52, 137]",81.72,Bohemian,30,Rainy,6.0
Hoodie,Leather,"[111, 104, 122]",108.14,Shorts,Linen,"[53, 195, 98]",141.48,Sandals,Wool,"[161, 208, 108]",182.55,Minimalist,30,Cloudy,2.5
Tunic,Wool,"[179, 248, 163]",217.68,Shorts,Nylon,"[169, 111, 218]",140.54,Loafers,Denim,"[157, 210, 219]",195.18,Bohemian,-3,Cloudy,2.5
Hoodie,Wool,"[16, 85, 102]",66.31,Skirt,Nylon,"[227, 15, 153]",94.12,Sandals,Knit,"[254, 52, 112]",119.24,Elegant,29,Windy,1.0
Tunic,Linen,"[5, 224, 145]",149.51,Leggings,Leather,"[80, 4, 104]",38.12,Sandals,Knit,"[211, 73, 53]",111.98,Vintage,14,Windy,5.0
Hoodie,Wool,"[201, 182, 237]",193.95,Skirt,Silk,"[219, 231, 138]",216.81,Espadrilles,Leather,"[19, 110, 93]",80.85,Streetwear,6,Cloudy,5.0
Sweater,Linen,"[125, 72, 102]",91.27,Chinos,Polyester,"[0, 207, 82]",130.86,Loafers,Suede,"[219, 118, 167]",153.78,Elegant,27,Windy,2.5
Tank Top,Fleece,"[214, 0, 247]",92.14,Chinos,Wool,"[231, 182, 218]",200.75,Sneakers,Leather,"[177, 26, 157]",86.08,Casual,29,Sunny,5.0
Cardigan,Wool,"[242, 65, 144]",126.93,Jeans,Fleece,"[28, 148, 2]",95.48,Boots,Leather,"[233, 141, 190]",174.09,Sporty,13,Sunny,5.0
Hoodie,Denim,"[40, 52, 143]",58.79,Trousers,Leather,"[2, 200, 82]",127.35,Running Shoes,Knit,"[115, 219, 231]",189.27,Minimalist,22,Snowy,1.5
Hoodie,Denim,"[15, 107, 249]",95.68,Jeans,Polyester,"[40, 14, 115]",33.29,Running Shoes,Mesh,"[204, 170, 72]",168.99,Preppy,11,Sunny,5.0
Polo,Nylon,"[242, 96, 207]",152.31,Culottes,Fleece,"[63, 193, 157]",150.03,Heels,Synthetic,"[199, 186, 186]",189.89,Business Casual,8,Rainy,5.0
Cardigan,Wool,"[157, 161, 65]",148.86,Culottes,Silk,"[237, 104, 79]",140.92,Flip-Flops,Leather,"[5, 240, 235]",169.16,Minimalist,34,Windy,5.0
Sweater,Polyester,"[254, 214, 206]",225.05,Shorts,Wool,"[15, 254, 168]",172.73,Moccasins,Mesh,"[21, 212, 147]",147.48,Business Casual,18,Snowy,3.0
